 ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
2023-10-09,19539.45,19588.95,19480.5,19512.35,165094800,15499.67
2023-10-10,19565.6,19717.8,19565.45,19689.85,216559447,18735.62
2023-10-11,19767,19839.2,19756.95,19811.35,213729730,19900.99
2023-10-12,19822.7,19843.3,19772.65,19794,217904144,20999.94
2023-10-13,19654.55,19805.4,19635.3,19751.05,254955979,24363.02
2023-10-16,19737.25,19781.3,19691.85,19731.75,180964341,14746.01
2023-10-17,19843.2,19849.75,19775.65,19811.5,185846716,16839.87
2023-10-18,19820.45,19840.95,19659.95,19671.1,198942937,18581.64
2023-10-19,19545.2,19681.8,19512.35,19624.7,230312163,23582.01
2023-10-20,19542.15,19593.8,19518.7,19542.65,198341255,17944.31
2023-10-23,19521.6,19556.85,19257.85,19281.75,176044288,16212.9
2023-10-25,19286.45,19347.3,19074.15,19122.15,225291741,19818.32
2023-10-26,19027.25,19041.7,18837.85,18857.25,300356469,28939.64
2023-10-27,18928.75,19076.15,18926.65,19047.25,205201044,19947.48
2023-10-30,19053.4,19158.5,18940,19140.9,180132492,17095.73
2023-10-31,19232.95,19233.7,19056.45,19079.6,206049341,19397.36
2023-11-01,19064.05,19096.05,18973.7,18989.15,194103279,18452.51
2023-11-02,19120,19175.25,19064.15,19133.25,245595109,19771.49
2023-11-03,19241,19276.25,19210.9,19230.6,189516123,17304.87
2023-11-06,19345.85,19423,19309.7,19411.75,180690631,16296.56
2023-11-07,19404.05,19423.5,19329.1,19406.7,198660124,18288.06
2023-11-08,19449.6,19464.4,19401.5,19443.5,194967997,17060.45
2023-11-09,19457.4,19463.9,19378.35,19395.3,208418472,19087.29
2023-11-10,19351.85,19451.3,19329.45,19425.35,152215785,12916.21
2023-11-12,19547.25,19547.25,19510.25,19525.55,37311902,2482.27
2023-11-13,19486.75,19494.4,19414.75,19443.55,189275733,13527.22
2023-11-15,19651.4,19693.2,19579.65,19675.45,291464988,24957.24
2023-11-16,19674.7,19875.25,19627,19765.2,282686669,26041.45
2023-11-17,19674.75,19806,19667.45,19731.8,236827462,21681.28
2023-11-20,19731.15,19756.45,19670.5,19694,173780543,16737.05
2023-11-21,19770.9,19829.1,19754.05,19783.4,194969012,17947.2
